request,result,type
GET /home,✅ Safe,Normal
admin' OR 1=1--,🚫 Attack Detected,SQL Injection
<script>alert(1)</script>,🚫 Attack Detected,XSS
GET /search?q=<script>alert(1)</script>,🚫 Attack Detected,XSS
"GET/home
",✅ Safe,Normal
"https://google.com

",⚠️ Suspicious,ML Detection
"www.google.com

",⚠️ Suspicious,ML Detection
